*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.017 pre-release  JUN 28, 2025 01:29:39

*RUN   1        : Radiance                  CRGRO048 UFBA1401    1
 MODEL          : CRGRO048 - Strawberry
 EXPERIMENT     : UFBA1401 SR 2014 BALM STRAWBERRY VARIETY TRIAL
 DATA PATH      : /data/Strawberry/
 TREATMENT  1   : Radiance                  CRGRO048
  
@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2014 282     9     0     4.4     0.0     4.4    0.00    3.57      0.0     0.0     2.2     2.2    4.40    3.01     0.0    2.3    0.0    0.00    0.02
 2014 283    10     1     4.4     0.0     4.4    0.00    3.56      0.0     0.0     2.2     2.2    4.40    3.01     0.0    2.3    0.0    0.00    0.03
 2014 284    11     2     4.5     0.0     4.5    0.00    3.53      0.0     0.0     2.2     2.4    4.39    2.99     0.0    2.3    0.3    0.01    0.05
 2014 285    12     3     4.6     0.0     4.6    0.00    3.49      0.0     0.0     2.1     2.5    4.38    2.97     0.0    2.3    0.3    0.02    0.06
 2014 286    13     4     4.8     0.0     4.8    0.00    3.45      0.0     0.0     2.1     2.7    4.37    2.96     0.0    2.3    0.3    0.03    0.08
 2014 287    14     5     4.8     0.0     4.8    0.00    3.42      0.0     0.0     2.1     2.7    4.36    2.93     0.0    2.2    0.1    0.04    0.10
 2014 288    15     6     5.0     0.0     5.0    0.00    3.39      0.0     0.0     2.1     2.9    4.35    2.93     0.0    2.2    0.3    0.05    0.12
 2014 289    16     7     5.1     0.0     5.1    0.00    3.35      0.0     0.0     2.1     3.1    4.34    2.91     0.0    2.2    0.3    0.06    0.14
 2014 290    17     8     5.3     0.0     5.3    0.00    3.32      0.0     0.0     2.0     3.2    4.33    2.90     0.0    2.2    0.3    0.07    0.16
 2014 291    18     9     5.5     0.0     5.5    0.00    3.29      0.0     0.0     2.1     3.4    4.32    2.88     0.0    2.2    0.3    0.08    0.18
 2014 292    19    10     5.6     0.0     5.6    0.00    3.26      0.0     0.0     2.1     3.6    4.30    2.86     0.0    2.2    0.3    0.09    0.21
 2014 293    20    11     5.9     0.0     5.9    0.00    3.26      0.0     0.0     2.2     3.7    4.30    2.85     0.0    2.2    0.3    0.10    0.23
 2014 294    21    12     6.0     0.0     6.0    0.00    3.25      0.0     0.0     2.3     3.7    4.29    2.83     0.0    2.2    0.2    0.11    0.26
 2014 295    22    13     6.3     0.0     6.3    0.00    3.26      0.0     0.0     2.5     3.8    4.30    2.82     0.0    2.1    0.4    0.12    0.29
 2014 296    23    14     6.7     0.0     6.7    0.00    3.26      0.0     0.0     2.7     4.0    4.30    2.80     0.0    2.1    0.5    0.14    0.32
 2014 297    24    15     7.0     0.0     7.0    0.00    3.26      0.0     0.0     2.9     4.1    4.29    2.79     0.0    2.1    0.5    0.15    0.34
 2014 298    25    16     7.4     0.0     7.4    0.00    3.26      0.0     0.0     3.1     4.3    4.29    2.78     0.0    2.1    0.6    0.17    0.37
 2014 299    26    17     7.9     0.0     7.9    0.00    3.27      0.0     0.0     3.4     4.5    4.30    2.77     0.0    2.1    0.7    0.18    0.40
 2014 300    27    18     8.4     0.0     8.4    0.00    3.28      0.0     0.0     3.7     4.7    4.29    2.76     0.0    2.1    0.7    0.19    0.43
 2014 301    28    19     8.8     0.0     8.8    0.00    3.28      0.0     0.0     4.0     4.9    4.29    2.75     0.0    2.1    0.7    0.21    0.47
 2014 302    29    20     9.2     0.0     9.2    0.00    3.28      0.0     0.0     4.2     5.0    4.28    2.74     0.0    2.1    0.6    0.23    0.50
 2014 303    30    21     9.6     0.0     9.6    0.00    3.28      0.0     0.0     4.5     5.1    4.27    2.73     0.0    2.1    0.6    0.25    0.54
 2014 304    31    22    10.2     0.0    10.2    0.00    3.29      0.0     0.0     4.9     5.3    4.28    2.72     0.0    2.1    0.9    0.28    0.59
 2014 305    32    23    10.9     0.0    10.9    0.00    3.31      0.0     0.0     5.3     5.6    4.29    2.72     0.0    2.1    1.0    0.30    0.62
 2014 306    33    24    11.6     0.0    11.6    0.00    3.33      0.0     0.0     5.8     5.9    4.29    2.73     0.0    2.1    1.1    0.31    0.65
 2014 307    34    25    12.3     0.0    12.3    0.00    3.34      0.0     0.0     6.2     6.1    4.29    2.72     0.0    2.1    1.1    0.33    0.69
 2014 308    35    26    12.9     0.0    12.9    0.00    3.34      0.0     0.0     6.6     6.3    4.28    2.71     0.0    2.1    0.9    0.36    0.74
 2014 309    36    27    13.6     0.0    13.6    0.00    3.34      0.0     0.0     7.0     6.5    4.27    2.71     0.0    2.1    0.9    0.40    0.79
 2014 310    37    28    14.1     0.0    14.1    0.00    3.34      0.0     0.0     7.4     6.7    4.27    2.70     0.0    2.1    0.9    0.43    0.86
 2014 311    38    29    14.9     0.0    14.9    0.00    3.35      0.0     0.0     7.9     7.0    4.27    2.69     0.0    2.1    1.2    0.47    0.92
 2014 312    39    30    15.6     0.0    15.5    0.00    3.35      0.0     0.0     8.3     7.2    4.26    2.69     3.4    2.1    0.9    0.51    0.98
 2014 313    40    31    15.9     0.0    15.8    0.00    3.33      0.0     0.0     8.5     7.3    4.24    2.67     3.3    2.1    0.5    0.56    1.04
 2014 314    41    32    16.9     0.0    16.8    0.00    3.35      0.0     0.0     9.1     7.7    4.26    2.67     3.3    2.1    1.5    0.60    1.11
 2014 315    42    33    17.9     0.0    17.8    0.00    3.36      0.0     0.0     9.8     8.0    4.26    2.67     3.3    2.1    1.5    0.65    1.18
 2014 316    43    34    19.0     0.0    18.8    0.00    3.37      0.0     0.0    10.4     8.4    4.26    2.67     3.3    2.1    1.6    0.69    1.25
 2014 317    44    35    20.0     0.0    19.8    0.00    3.38      0.0     0.0    11.0     8.8    4.26    2.67     3.3    2.1    1.6    0.75    1.32
 2014 318    45    36    20.7     0.0    20.3    4.51    3.37      0.0     0.0    11.4     8.9    4.25    2.66     3.3    2.1    0.9    0.81    1.40
 2014 319    46    37    21.9     0.0    21.4    4.51    3.38      0.0     0.0    12.1     9.3    4.26    2.67     3.3    2.1    1.7    0.86    1.47
 2014 320    47    38    22.9     0.0    22.2    4.54    3.38      0.0     0.0    12.6     9.6    4.25    2.66     3.3    2.1    1.4    0.94    1.57
 2014 321    48    39    23.3     0.1    22.4    4.58    3.36      0.0     0.0    12.7     9.7    4.23    2.64     3.3    2.0    0.6    1.02    1.67
 2014 322    49    40    23.6     0.1    22.6    4.57    3.36      0.0     0.0    12.9     9.8    4.23    2.64     3.3    2.0    0.5    1.07    1.73
 2014 323    50    41    24.8     0.1    23.7    4.57    3.38      0.0     0.0    13.5    10.2    4.25    2.65     3.3    2.1    1.6    1.10    1.78
 2014 324    51    42    26.0     0.1    24.7    4.57    3.38      0.0     0.0    14.2    10.5    4.25    2.66     3.3    2.1    1.7    1.15    1.85
 2014 325    52    43    27.0     0.2    25.5    4.55    3.38      0.0     0.0    14.6    10.8    4.24    2.65     3.3    2.1    1.4    1.22    1.95
 2014 326    53    44    27.5     0.3    25.6    4.56    3.36      0.0     0.0    14.7    10.8    4.22    2.63     3.3    2.0    0.7    1.32    2.07
 2014 327    54    45    28.5     0.3    26.2    4.60    3.36      0.0     0.0    15.1    11.1    4.23    2.63     3.3    2.0    1.3    1.40    2.19
 2014 328    55    46    28.1     0.2    26.8    4.66    3.36      0.0     0.0    15.5    11.3    4.22    2.62     3.3    2.0    1.3    2.54    2.31
 2014 329    56    47    28.3     0.2    26.7    4.67    3.33      0.0     0.0    15.4    11.2    4.20    2.60     3.3    2.0    0.3    2.64    2.44
 2014 330    57    48    29.0     0.3    27.2    4.65    3.34      0.0     0.0    15.8    11.4    4.21    2.60     3.3    2.0    1.0    2.71    2.54
 2014 331    58    49    30.6     0.3    28.7    4.64    3.36      0.0     0.0    16.7    12.0    4.23    2.62     3.3    2.0    2.3    2.76    2.62
 2014 332    59    50    32.2     0.3    30.1    4.64    3.38      0.0     0.0    17.6    12.5    4.24    2.63     3.3    2.0    2.2    2.80    2.68
 2014 333    60    51    33.7     0.3    31.5    4.62    3.38      0.0     0.0    18.5    13.0    4.23    2.63     3.3    2.0    2.2    2.88    2.78
